Id	Title	Time	EVENT_MOVE	EVENT_ATTACK	EVENT_SITE	EVENT_RIDE	EVENT_USEITEM	EVENT_ARRANGEITEM	EVENT_DROPITEM	EVENT_CHANGEEQUIP	EVENT_TRADE	EVENT_CHANGEFIGHTSTATE	EVENT_ATTACKED	EVENT_DEATH	EVENT_REVIVE	EVENT_BUYITEM	EVENT_SELLITEM	EVENT_TALK	comment
1	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╘╗═╓о╣√
2	зang H╕i Qu╢Е	30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
3	зang th∙c hi╓nЕ	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╘╗═╓о╣√
4	зang th∙c hi╓nЕ	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ї╒╫╙╧ф
5	зang th∙c hi╓nЕ	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	┐к╥й
6	зang th∙c hi╓nЕ	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2011─ъ╓▓╩ў╜┌┤Є╦о
7	зang th∙c hi╓nЕ	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2011─ъ7╘┬╗ю╢п
8	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╤╫╡█▒ж▓╪┤Є┐к├╪▒ж
9	зang th∙c hi╓nЕ	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	150╝╢╝╝─▄╪д░я╚╬╬ё
10	зang th∙c hi╓nЕ	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	150╝╢╝╝─▄╩ь┴╖╢╚
11	зang th∙c hi╓nЕ	6	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	╠ь╓о▒ж╧ф
12	зang th∙c hi╓nЕ	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	╗ь╘к┴щ┬╢░№
13	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3├ы╩░╚б
14	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2012╓╨╟я╣·╟ь╗ю╢п╩│╙├╔ё╞ц╡─╘┬▒¤
15	зang th∙c hi╓nЕ	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2012─ъ11╘┬╗ю╢п╘ю╠и╢┴╠їыч╓╞└░╚т
16	зang th∙c hi╓nЕ	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╘к╧№╗ю╢п╡у╡╞┴¤
17	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╘к╧№╗ю╢п╡у╡╞┴¤
18	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╘к╧№╗ю╢п╡у╡╞┴¤
19	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╬х╘┬╗ю╢п
